image_id,filename,relative_path,tract,category,super_category,super_category_id,class_name,class_id,width,height,aspect_ratio,file_size_kb,laplacian_var,mean_brightness,specular_ratio,quality_tag,phash,split
IMG_02467,ae8b2f98-6fcc-426e-9698-be7dfb7c4e1a.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-0-1/ae8b2f98-6fcc-426e-9698-be7dfb7c4e1a.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-0-1,16,572,531,1.077,199.53,143.16,118.73,0.028,Good_Quality,c097156c157945bf,train
IMG_02050,9f019d76-67f5-4df8-8a80-428af51d6183.jpg,lower-gi-tract/pathological-findings/polyps/9f019d76-67f5-4df8-8a80-428af51d6183.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,622,531,1.171,31.06,286.94,93.98,0.047,Good_Quality,c4e11423531edafb,train
IMG_03349,182efb73-6750-4997-96ba-986d4c1db9eb.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/182efb73-6750-4997-96ba-986d4c1db9eb.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,633,531,1.192,158.69,617.29,93.52,0.171,Good_Quality,a508571f52774a76,train
IMG_06574,5eae50c7-8a48-4db6-ba94-2690a94e4939.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/5eae50c7-8a48-4db6-ba94-2690a94e4939.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,633,531,1.192,228.08,545.13,98.52,1.031,Good_Quality,d08445175ddf569a,train
IMG_03610,792026f5-a2f8-4cbe-bba2-eb5a6f216a50.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/792026f5-a2f8-4cbe-bba2-eb5a6f216a50.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,575,530,1.085,137.38,576.72,63.29,0.157,Good_Quality,c624110d1ffb1f0f,train
IMG_03205,66aab5d9-a0e2-4b87-a10e-f64fa0d19cf6.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/66aab5d9-a0e2-4b87-a10e-f64fa0d19cf6.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-3,21,623,530,1.175,265.76,539.47,122.58,1.175,Good_Quality,d435117547487fca,train
IMG_10374,e93dbfea-03c0-4bf0-b7ac-4f068342d7bc.jpg,upper-gi-tract/pathological-findings/esophagitis-a/e93dbfea-03c0-4bf0-b7ac-4f068342d7bc.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1013,1.205,741.17,73.54,165.04,2.674,Motion_Blur,c16d9037149b573d,train
IMG_06845,a1926511-414b-40a2-822b-239b0167c921.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/a1926511-414b-40a2-822b-239b0167c921.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,572,532,1.075,229.05,565.37,96.77,0.316,Good_Quality,d16e08ef65b05c66,train
IMG_01655,3d697e4d-dec1-48d5-a325-5f588722181d.jpg,lower-gi-tract/pathological-findings/polyps/3d697e4d-dec1-48d5-a325-5f588722181d.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,570,531,1.073,25.07,280.05,62.08,0.042,Good_Quality,956145315639ee76,train
IMG_03397,258df2e2-648a-403d-b2ec-988a0041761b.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/258df2e2-648a-403d-b2ec-988a0041761b.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,630,531,1.186,169.62,641.86,88.32,1.317,Good_Quality,e0a117d5f05d1f0b,train
IMG_05843,a2c5f07d-9039-4216-b2ef-0a0a0825e2da.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/a2c5f07d-9039-4216-b2ef-0a0a0825e2da.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,623,530,1.175,176.46,280.82,91.55,6.904,High_Reflection,b5b7d0d603c853c6,train
IMG_04143,2e793f3f-5241-41b8-b950-e2046c8cbf9a.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/2e793f3f-5241-41b8-b950-e2046c8cbf9a.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,172.04,677.75,110.07,0.286,Good_Quality,c0825d6d555f4e65,train
IMG_08734,b33a1f15-b2c0-4e76-865a-9c547e75a884.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/b33a1f15-b2c0-4e76-865a-9c547e75a884.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1349,1071,1.26,655.91,91.5,102.09,9.644,High_Reflection,f03f806601734fbb,train
IMG_05866,a9c06520-7e87-4c5a-9100-673229d47cc9.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/a9c06520-7e87-4c5a-9100-673229d47cc9.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,623,530,1.175,184.5,246.34,97.38,5.624,High_Reflection,d437436a9e725349,train
IMG_10179,697d942d-4685-4a00-8e2c-13a0da9722a1.jpg,upper-gi-tract/pathological-findings/esophagitis-a/697d942d-4685-4a00-8e2c-13a0da9722a1.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1020,1.197,955.5,702.07,123.03,0.091,Good_Quality,e03fc1c7149c0efa,train
IMG_04185,39de7174-d119-4ce5-bcc7-27558e3f1a9d.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/39de7174-d119-4ce5-bcc7-27558e3f1a9d.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,173.03,596.91,102.49,0.318,Good_Quality,950d552d55755c36,train
IMG_10644,e9039e9f-28bf-4103-b825-a90c6cce726a.jpg,upper-gi-tract/pathological-findings/esophagitis-b-d/e9039e9f-28bf-4103-b825-a90c6cce726a.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-b-d,8,1349,1071,1.26,672.72,69.17,118.69,1.39,Motion_Blur,e4e000cfc1c98fdf,train
IMG_00266,401b4620-2f8d-424b-ae41-6b6ce1750d31.jpg,lower-gi-tract/anatomical-landmarks/cecum/401b4620-2f8d-424b-ae41-6b6ce1750d31.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,626,531,1.179,234.32,527.71,106.89,0.034,Good_Quality,d4011f03431f7afe,train
IMG_04161,31fef14d-70bb-4566-99e2-6e6f7692765a.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/31fef14d-70bb-4566-99e2-6e6f7692765a.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,531,1.192,141.47,591.18,99.28,3.268,Good_Quality,b5a5d59456d25a8a,train
IMG_07093,e3e635ab-c94a-4b08-b87c-ab2c0ef9446a.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/e3e635ab-c94a-4b08-b87c-ab2c0ef9446a.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,610,548,1.113,222.48,440.62,102.79,1.328,Good_Quality,d4021395da5b4bee,train
IMG_07615,645913ab-df22-45a5-8c4a-e00513b2cd9e.jpg,upper-gi-tract/anatomical-landmarks/pylorus/645913ab-df22-45a5-8c4a-e00513b2cd9e.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1221,1020,1.197,1162.92,963.11,132.34,0.445,Good_Quality,84be11d947662e9b,train
IMG_01032,09c0a707-f1a3-4f29-807f-40dafce46589.jpg,lower-gi-tract/anatomical-landmarks/retroflex-rectum/09c0a707-f1a3-4f29-807f-40dafce46589.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-rectum,14,623,529,1.178,218.87,274.95,112.52,1.092,Good_Quality,d53f40fd8ae01b70,train
IMG_06395,31b100ff-0842-4ff3-bf9e-3ff36b208b16.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/31b100ff-0842-4ff3-bf9e-3ff36b208b16.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,633,532,1.19,220.41,569.55,110.75,0.078,Good_Quality,c5091597566e7ab2,train
IMG_00277,431bfbdf-db36-4240-91e0-74ac86458271.jpg,lower-gi-tract/anatomical-landmarks/cecum/431bfbdf-db36-4240-91e0-74ac86458271.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,635,547,1.161,243.48,280.27,108.72,0.075,Good_Quality,c4c01b8603277bff,train
IMG_03494,48fb328b-99e2-4482-b3cd-158aa7926c58.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/48fb328b-99e2-4482-b3cd-158aa7926c58.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,630,548,1.15,206.74,641.26,101.44,0.332,Good_Quality,c0851fdb659b43cc,train
IMG_04318,54db57f2-e971-43a4-9e99-b12ef29b60b3.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/54db57f2-e971-43a4-9e99-b12ef29b60b3.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,162.0,601.64,107.97,0.215,Good_Quality,f420c5815c1b5b7f,train
IMG_02874,6ad32abe-f44e-4a70-8087-89f4da3ba12d.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/6ad32abe-f44e-4a70-8087-89f4da3ba12d.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-2,19,635,548,1.159,258.8,452.39,130.5,0.153,Good_Quality,9542552b523f4af3,train
IMG_04337,59a8d59c-c916-4c86-9cc1-52433a01ace0.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/59a8d59c-c916-4c86-9cc1-52433a01ace0.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,531,1.192,171.36,671.28,113.7,0.422,Good_Quality,c4815535567e56da,train
IMG_04673,9e65d70c-b86a-41fc-9ffd-bcfc75e33929.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/9e65d70c-b86a-41fc-9ffd-bcfc75e33929.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,531,1.192,161.56,611.69,102.25,1.127,Good_Quality,e4e095051557579f,train
IMG_00005,012ab888-64e6-4361-9745-f52b4a03ba75.jpg,lower-gi-tract/anatomical-landmarks/cecum/012ab888-64e6-4361-9745-f52b4a03ba75.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,633,532,1.19,237.53,437.77,112.93,0.058,Good_Quality,d1011f3e709d63a7,train
IMG_06514,4ef62f77-bc52-4e6f-952f-ffc035035d94.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/4ef62f77-bc52-4e6f-952f-ffc035035d94.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,633,531,1.192,222.15,445.47,109.24,0.316,Good_Quality,d5015396160f6be7,train
IMG_04885,cb83ed3d-6823-4f5d-ad63-6cf5bdbfd68a.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/cb83ed3d-6823-4f5d-ad63-6cf5bdbfd68a.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,531,1.192,146.94,583.6,96.71,0.389,Good_Quality,b5b4d1955dcd4c0c,train
IMG_06159,f175861b-c64a-4f5e-892f-2980b0a1e6a9.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/f175861b-c64a-4f5e-892f-2980b0a1e6a9.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,635,548,1.159,237.33,574.53,86.58,0.084,Good_Quality,b534d5c2524fca6a,train
IMG_05860,a8998dca-1176-4dd6-a85e-9b365494aff8.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/a8998dca-1176-4dd6-a85e-9b365494aff8.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,635,548,1.159,249.91,483.52,95.35,1.38,Good_Quality,a194d14547479ede,train
IMG_02699,04270554-062e-4963-9715-cbd877167607.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/04270554-062e-4963-9715-cbd877167607.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-2,19,615,529,1.163,177.0,681.16,85.69,0.292,Good_Quality,95bd5454547056f6,train
IMG_06023,cc4f6ba3-2370-4583-ae01-5e2b1e219e20.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/cc4f6ba3-2370-4583-ae01-5e2b1e219e20.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,623,531,1.173,193.13,128.38,88.51,3.019,Good_Quality,d03a03719e2bdd66,train
IMG_00183,2acd4bef-31e2-4609-b47c-74b55d6173f8.jpg,lower-gi-tract/anatomical-landmarks/cecum/2acd4bef-31e2-4609-b47c-74b55d6173f8.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,635,548,1.159,243.41,318.43,121.55,0.151,Good_Quality,d4811703436f4efe,train
IMG_00196,2e44b5a8-4ad3-4f6f-ba8f-ab48dfac003f.jpg,lower-gi-tract/anatomical-landmarks/cecum/2e44b5a8-4ad3-4f6f-ba8f-ab48dfac003f.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,628,529,1.187,193.74,99.64,103.52,0.199,Good_Quality,9505565a4afb0af9,train
IMG_08924,f0626d8e-f582-4398-9303-16d6611bfdd6.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/f0626d8e-f582-4398-9303-16d6611bfdd6.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1221,1012,1.207,694.29,34.51,117.71,0.192,Motion_Blur,95b3505b404f566f,train
IMG_01976,8c35d240-e13b-48ad-b305-84d76ec4072a.jpg,lower-gi-tract/pathological-findings/polyps/8c35d240-e13b-48ad-b305-84d76ec4072a.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,611,529,1.155,33.11,179.38,114.18,0.861,Good_Quality,843e5b6b1aec3ab0,train
IMG_00609,9848fe90-9e9f-4938-a009-60038041b5ab.jpg,lower-gi-tract/anatomical-landmarks/cecum/9848fe90-9e9f-4938-a009-60038041b5ab.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,628,532,1.18,220.54,348.21,109.29,1.756,Good_Quality,d51400086e1b7fff,train
IMG_07430,35f43c08-e73a-4ad5-837c-fb3674f9e054.jpg,upper-gi-tract/anatomical-landmarks/pylorus/35f43c08-e73a-4ad5-837c-fb3674f9e054.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1225,1013,1.209,859.68,87.75,165.2,1.001,Good_Quality,c48615d951767676,train
IMG_03593,71103e40-0372-4128-8691-2ab3ba7a1875.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/71103e40-0372-4128-8691-2ab3ba7a1875.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,635,548,1.159,231.72,731.41,94.71,6.497,High_Reflection,a584524b42ff36a7,train
IMG_07073,ddbaccd5-7630-48df-bc99-2b10d8ccc454.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/ddbaccd5-7630-48df-bc99-2b10d8ccc454.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,635,527,1.205,218.75,511.45,100.53,0.15,Good_Quality,b50a552b5c676aac,train
IMG_07424,338da4dd-2b01-4061-adc6-0d2c05668ae2.jpg,upper-gi-tract/anatomical-landmarks/pylorus/338da4dd-2b01-4061-adc6-0d2c05668ae2.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1221,1011,1.208,782.62,62.54,134.1,0.413,Motion_Blur,8585157d546f4793,train
IMG_08169,f4577c54-5d76-4b5f-bef7-e3f9824edc94.jpg,upper-gi-tract/anatomical-landmarks/pylorus/f4577c54-5d76-4b5f-bef7-e3f9824edc94.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1221,1012,1.207,626.53,25.59,146.33,0.055,Motion_Blur,851355cf146f50f6,train
IMG_04166,351b8455-95f9-4bd8-af69-907fcc7635fa.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/351b8455-95f9-4bd8-af69-907fcc7635fa.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,531,1.192,140.15,587.84,100.27,3.175,Good_Quality,b525d59556d65a0a,train
IMG_08477,572548a5-e22f-406c-880b-b184fb45c5eb.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/572548a5-e22f-406c-880b-b184fb45c5eb.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1221,1011,1.208,821.68,61.84,121.07,0.149,Motion_Blur,8464554d559b4f73,train
IMG_03340,133ff1b9-3d3f-41d9-b944-5090e0fe4471.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/133ff1b9-3d3f-41d9-b944-5090e0fe4471.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,633,532,1.19,170.42,640.66,106.54,0.668,Good_Quality,b528d5055515d6de,train
IMG_07919,b2572905-3d6a-4040-81fa-b86b48323736.jpg,upper-gi-tract/anatomical-landmarks/pylorus/b2572905-3d6a-4040-81fa-b86b48323736.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1349,1071,1.26,714.54,91.18,148.39,0.568,Good_Quality,c4c6449951db537e,train
IMG_06685,7e2f6e4a-f8c5-4dab-8f68-2418b12c2611.jpg,lower-gi-tract/therapeutic-interventions/dyed-resection-margins/7e2f6e4a-f8c5-4dab-8f68-2418b12c2611.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-resection-margins,6,636,548,1.161,233.3,517.81,105.45,2.872,Good_Quality,892855e555955eb5,train
IMG_09771,d90ce851-0519-401a-87f6-d462d6dba29c.jpg,upper-gi-tract/anatomical-landmarks/z-line/d90ce851-0519-401a-87f6-d462d6dba29c.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1225,1013,1.209,839.97,78.85,131.95,0.047,Motion_Blur,c11e14ff50f51633,train
IMG_00635,9f7500ef-f95a-4054-a4a1-d949766ba09d.jpg,lower-gi-tract/anatomical-landmarks/cecum/9f7500ef-f95a-4054-a4a1-d949766ba09d.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,635,548,1.159,239.17,572.53,106.75,0.31,Good_Quality,d500517f4d08773f,train
IMG_09347,68812954-7d0c-44de-b124-44c793f2502b.jpg,upper-gi-tract/anatomical-landmarks/z-line/68812954-7d0c-44de-b124-44c793f2502b.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1225,1013,1.209,769.99,75.34,153.15,0.175,Motion_Blur,c41b11af45b617d9,train
IMG_09788,defaf425-6d09-4449-a095-b35ada50e393.jpg,upper-gi-tract/anatomical-landmarks/z-line/defaf425-6d09-4449-a095-b35ada50e393.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1221,1012,1.207,713.5,76.62,155.53,0.0,Motion_Blur,a187153e557e472c,train
IMG_02075,a62a624e-27af-406f-9cb6-a19de6aae8b6.jpg,lower-gi-tract/pathological-findings/polyps/a62a624e-27af-406f-9cb6-a19de6aae8b6.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,626,546,1.147,34.53,243.17,102.31,0.912,Good_Quality,97d144085f233afe,train
IMG_07845,9e88d94f-84de-4130-a64a-f3750c44d4c2.jpg,upper-gi-tract/anatomical-landmarks/pylorus/9e88d94f-84de-4130-a64a-f3750c44d4c2.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1221,1020,1.197,969.12,691.95,137.26,0.041,Good_Quality,944b546f503f43ec,train
IMG_07838,9d56e832-8326-4136-ba99-c5dbe4c7352f.jpg,upper-gi-tract/anatomical-landmarks/pylorus/9d56e832-8326-4136-ba99-c5dbe4c7352f.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1349,1071,1.26,715.6,88.14,126.31,0.697,Good_Quality,c58741c7474e4edc,train
IMG_08778,c28c4053-86e7-47fc-9096-c78eaa73531b.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/c28c4053-86e7-47fc-9096-c78eaa73531b.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1225,1015,1.207,765.97,42.46,112.81,0.142,Motion_Blur,95e7514d594c127b,train
IMG_04144,2e9d8b79-bb64-4131-9b62-8acdbb00a9f2.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/2e9d8b79-bb64-4131-9b62-8acdbb00a9f2.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,168.97,631.75,110.33,0.94,Good_Quality,91285545555f573b,train
IMG_04800,bb22d3f9-fece-46db-b22e-14f23ee32e6d.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/bb22d3f9-fece-46db-b22e-14f23ee32e6d.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,164.3,573.23,110.21,0.149,Good_Quality,f42017055d1f5e76,train
IMG_10212,820368d8-b0eb-4c1c-9172-ba32260bfaf9.jpg,upper-gi-tract/pathological-findings/esophagitis-a/820368d8-b0eb-4c1c-9172-ba32260bfaf9.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1012,1.207,699.39,296.88,158.49,2.814,Good_Quality,813cd52f51c91eda,train
IMG_08328,25c0cf56-9161-4660-8993-6881e3bdb728.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/25c0cf56-9161-4660-8993-6881e3bdb728.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1349,1071,1.26,709.08,88.54,101.64,0.793,Good_Quality,c0f200ce193b2fef,train
