image_id,filename,relative_path,tract,category,super_category,super_category_id,class_name,class_id,width,height,aspect_ratio,file_size_kb,laplacian_var,mean_brightness,specular_ratio,quality_tag,phash,split,fold
IMG_04144,2e9d8b79-bb64-4131-9b62-8acdbb00a9f2.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/2e9d8b79-bb64-4131-9b62-8acdbb00a9f2.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,168.97,631.75,110.33,0.94,Good_Quality,91285545555f573b,train,3
IMG_10212,820368d8-b0eb-4c1c-9172-ba32260bfaf9.jpg,upper-gi-tract/pathological-findings/esophagitis-a/820368d8-b0eb-4c1c-9172-ba32260bfaf9.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1012,1.207,699.39,296.88,158.49,2.814,Good_Quality,813cd52f51c91eda,train,3
IMG_08328,25c0cf56-9161-4660-8993-6881e3bdb728.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/25c0cf56-9161-4660-8993-6881e3bdb728.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1349,1071,1.26,709.08,88.54,101.64,0.793,Good_Quality,c0f200ce193b2fef,train,3
IMG_07454,3d003de6-b089-4eac-83ca-cb807021c656.jpg,upper-gi-tract/anatomical-landmarks/pylorus/3d003de6-b089-4eac-83ca-cb807021c656.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1225,1015,1.207,714.97,35.2,146.18,0.303,Motion_Blur,85cd149257696de6,train,3
IMG_03662,8c667b50-6ae1-4fc4-922f-951db1f933ab.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-0-1/8c667b50-6ae1-4fc4-922f-951db1f933ab.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-0-1,2,633,531,1.192,153.66,653.97,93.43,2.625,Good_Quality,cc9003075d185fff,train,3
IMG_10434,21752476-fc5b-4632-aafd-dd8ebd4a50d2.jpg,upper-gi-tract/pathological-findings/esophagitis-b-d/21752476-fc5b-4632-aafd-dd8ebd4a50d2.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-b-d,8,1221,1012,1.207,687.8,272.2,134.51,0.001,Good_Quality,846ed59a518f56e4,train,3
IMG_05611,66afb928-19ba-45e1-b698-d9912761d49d.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/66afb928-19ba-45e1-b698-d9912761d49d.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,613,529,1.159,256.94,503.0,65.95,1.247,Good_Quality,99ad2595555574b4,train,3
IMG_10274,aafd3f57-aa0e-4bd9-8d62-1e8470a66524.jpg,upper-gi-tract/pathological-findings/esophagitis-a/aafd3f57-aa0e-4bd9-8d62-1e8470a66524.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-a,7,1221,1012,1.207,637.1,32.81,147.7,0.882,Motion_Blur,c407109f507f0ffc,train,3
IMG_03061,d86128e1-712d-4532-bf0b-70bfae06cbd4.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/d86128e1-712d-4532-bf0b-70bfae06cbd4.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-2,19,623,530,1.175,179.44,657.46,110.53,2.598,Good_Quality,9fa700d613d85bd8,train,3
IMG_09803,e263009e-5e98-48b8-8e4c-b23975d2816a.jpg,upper-gi-tract/anatomical-landmarks/z-line/e263009e-5e98-48b8-8e4c-b23975d2816a.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1221,1012,1.207,744.57,271.68,127.97,0.001,Good_Quality,9087543f005f5ebe,train,3
IMG_00596,942f96f8-feff-4add-b43c-d00387f4d384.jpg,lower-gi-tract/anatomical-landmarks/cecum/942f96f8-feff-4add-b43c-d00387f4d384.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,633,532,1.19,208.29,514.21,111.34,0.12,Good_Quality,95275717509e7a8c,train,3
IMG_04742,aed8792e-afa3-46b9-98aa-16c4a07bb3df.jpg,lower-gi-tract/quality-of-mucosal-views/bbps-2-3/aed8792e-afa3-46b9-98aa-16c4a07bb3df.jpg,lower-gi-tract,quality-of-mucosal-views,Quality_of_Mucosal_Views,2,bbps-2-3,3,633,532,1.19,158.17,566.84,107.41,0.14,Good_Quality,e4605595551d5bab,train,3
IMG_02612,b14f3dc1-981f-4769-a71c-1c854b97253a.jpg,lower-gi-tract/pathological-findings/ulcerative-colitis-grade-1/b14f3dc1-981f-4769-a71c-1c854b97253a.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,ulcerative-colitis-grade-1,17,635,548,1.159,265.46,471.1,106.31,0.25,Good_Quality,d5600013430f7fff,train,3
IMG_01327,c7b958aa-bd66-4a30-b68d-ab4eb4597a5c.jpg,lower-gi-tract/anatomical-landmarks/retroflex-rectum/c7b958aa-bd66-4a30-b68d-ab4eb4597a5c.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-rectum,14,633,532,1.19,190.04,390.16,102.93,0.254,Good_Quality,b53315cf524c587c,train,3
IMG_05887,aff8e546-cd9a-4224-8396-956817f3a09a.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/aff8e546-cd9a-4224-8396-956817f3a09a.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,571,531,1.075,227.42,288.34,91.8,0.263,Good_Quality,9167659a016556df,train,3
IMG_10647,f0a73083-cf60-4f8b-8252-4b2f91178988.jpg,upper-gi-tract/pathological-findings/esophagitis-b-d/f0a73083-cf60-4f8b-8252-4b2f91178988.jpg,upper-gi-tract,pathological-findings,Pathological_Findings,1,esophagitis-b-d,8,1349,1071,1.26,689.87,65.65,94.92,1.182,Motion_Blur,f5f1c18001e493ff,train,3
IMG_09651,b7fa1b2a-d91b-4ed1-b9a8-375036575355.jpg,upper-gi-tract/anatomical-landmarks/z-line/b7fa1b2a-d91b-4ed1-b9a8-375036575355.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,z-line,22,1349,1071,1.26,695.93,62.69,124.33,0.062,Motion_Blur,c52f007711fc57ca,train,3
IMG_08702,aad43e51-b430-4c18-805b-32ecf9f0ee7a.jpg,upper-gi-tract/anatomical-landmarks/retroflex-stomach/aad43e51-b430-4c18-805b-32ecf9f0ee7a.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,retroflex-stomach,15,1349,1071,1.26,836.62,159.45,115.8,0.886,Good_Quality,b49740e6446317fb,train,3
IMG_07824,98d6067b-f5a6-4316-a81f-28cf698140f2.jpg,upper-gi-tract/anatomical-landmarks/pylorus/98d6067b-f5a6-4316-a81f-28cf698140f2.jpg,upper-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,pylorus,13,1349,1071,1.26,764.42,82.81,127.02,0.336,Good_Quality,d5c91096169b4f6d,train,3
IMG_02381,f15ee182-84da-44e1-9033-046b3890e534.jpg,lower-gi-tract/pathological-findings/polyps/f15ee182-84da-44e1-9033-046b3890e534.jpg,lower-gi-tract,pathological-findings,Pathological_Findings,1,polyps,12,570,518,1.1,24.35,143.87,85.71,0.032,Good_Quality,d13f04bc01fd07f4,train,3
IMG_06073,d74e8a9f-ebdf-4477-a84c-2a2ea53e7983.jpg,lower-gi-tract/therapeutic-interventions/dyed-lifted-polyps/d74e8a9f-ebdf-4477-a84c-2a2ea53e7983.jpg,lower-gi-tract,therapeutic-interventions,Therapeutic_Interventions,3,dyed-lifted-polyps,5,563,531,1.06,173.98,324.28,101.53,0.724,Good_Quality,dc280803233fbfaf,train,3
IMG_00697,acc67d4b-4d61-4a86-97c2-7b056cde3534.jpg,lower-gi-tract/anatomical-landmarks/cecum/acc67d4b-4d61-4a86-97c2-7b056cde3534.jpg,lower-gi-tract,anatomical-landmarks,Anatomical_Landmarks,0,cecum,4,635,547,1.161,249.5,401.19,123.4,1.028,Good_Quality,d5d25000438f5fbf,train,3
